date,close,volume,Name
2/8/13,177.56,1456988,RL
2/11/13,177.01,892981,RL
2/12/13,176.79,522106,RL
2/13/13,175.63,557794,RL
2/14/13,174.86,835246,RL
2/15/13,176.07,903981,RL
2/19/13,177.04,633572,RL
2/20/13,173.51,618692,RL
2/21/13,170.62,567099,RL
2/22/13,171.12,614455,RL
2/25/13,168.88,617254,RL
2/26/13,170.12,585162,RL
2/27/13,173.31,483032,RL
2/28/13,173.47,503058,RL
3/1/13,174.17,685131,RL
3/4/13,174.4,669997,RL
3/5/13,177.09,630207,RL
3/6/13,177.42,607121,RL
3/7/13,177.18,603035,RL
3/8/13,177.46,320163,RL
3/11/13,176.5,452665,RL
3/12/13,174.41,426890,RL
3/13/13,173.03,879411,RL
3/14/13,173.16,671724,RL
3/15/13,171.3,625088,RL
3/18/13,169.22,700598,RL
3/19/13,167.2,772471,RL
3/20/13,170.51,883153,RL
3/21/13,168.59,644150,RL
3/22/13,168.41,706466,RL
3/25/13,167.44,751882,RL
3/26/13,167.57,538010,RL
3/27/13,169.71,725684,RL
3/28/13,169.31,558707,RL
4/1/13,166.75,748439,RL
4/2/13,167.93,559831,RL
4/3/13,168.73,676181,RL
4/4/13,169.62,313138,RL
4/5/13,168.73,481603,RL
4/8/13,169.6,293364,RL
4/9/13,170.08,264577,RL
4/10/13,172.6,280001,RL
4/11/13,174.99,426301,RL
4/12/13,174.02,350403,RL
4/15/13,170.85,602167,RL
4/16/13,171.28,391874,RL
4/17/13,168.57,514358,RL
4/18/13,167.35,381355,RL
4/19/13,169.14,446031,RL
4/22/13,165.93,779583,RL
4/23/13,170.75,865294,RL
4/24/13,171.44,494223,RL
4/25/13,175.38,501335,RL
4/26/13,175.6,350180,RL
4/29/13,177,589153,RL
4/30/13,181.58,1117741,RL
5/1/13,178.57,605273,RL
5/2/13,177.54,544574,RL
5/3/13,179.26,320206,RL
5/6/13,180.92,474222,RL
5/7/13,185.01,613386,RL
5/8/13,185.37,268256,RL
5/9/13,183.62,612681,RL
5/10/13,185,274487,RL
5/13/13,183.79,256615,RL
5/14/13,186.55,652791,RL
5/15/13,186.71,470313,RL
5/16/13,184.8,758106,RL
5/17/13,187.01,413075,RL
5/20/13,186.68,742088,RL
5/21/13,189.56,579759,RL
5/22/13,188.06,1122122,RL
5/23/13,183.69,1439380,RL
5/24/13,180.97,1038533,RL
5/28/13,178.47,1091713,RL
5/29/13,177.33,811030,RL
5/30/13,175.57,961139,RL
5/31/13,175.09,847673,RL
6/3/13,175.65,774097,RL
6/4/13,176.32,695037,RL
6/5/13,173.74,331555,RL
6/6/13,174.59,394548,RL
6/7/13,175.94,496216,RL
6/10/13,175.8,649705,RL
6/11/13,173.78,439246,RL
6/12/13,172.46,254788,RL
6/13/13,174.43,569026,RL
6/14/13,173.15,367085,RL
6/17/13,176.1,608700,RL
6/18/13,178.9,438422,RL
6/19/13,177.81,589178,RL
6/20/13,170.33,757687,RL
6/21/13,169.09,811348,RL
6/24/13,168.58,657836,RL
6/25/13,170.26,608098,RL
6/26/13,170.37,678132,RL
6/27/13,173.65,490553,RL
6/28/13,173.74,647632,RL
7/1/13,173.94,522302,RL
7/2/13,172.67,495875,RL
7/3/13,172.79,160497,RL
7/5/13,174.03,1221065,RL
7/8/13,175.96,1203300,RL
7/9/13,177.63,575029,RL
7/10/13,180.02,627980,RL
7/11/13,183.24,668815,RL
7/12/13,182.4,303506,RL
7/15/13,181.75,324118,RL
7/16/13,180.16,444785,RL
7/17/13,178.53,404785,RL
7/18/13,179.98,1125231,RL
7/19/13,179.22,595340,RL
7/22/13,180.49,1008641,RL
7/23/13,180.14,532412,RL
7/24/13,179.13,382569,RL
7/25/13,179.26,782929,RL
7/26/13,180.98,499614,RL
7/29/13,180.29,189672,RL
7/30/13,181.64,460093,RL
7/31/13,182.06,609770,RL
8/1/13,186.99,637041,RL
